Date, Close/Last, Volume, Open, High, Low
10/06/2020, $258.66, 18696920, $261.78, $265.69, $258.24
10/05/2020, $264.65, 12822250, $262.2, $264.865, $260.8401
10/02/2020, $259.94, 16367600, $261.21, $265.15, $259.18
10/01/2020, $266.63, 20009800, $265.35, $268.33, $264.8
09/30/2020, $261.9, 20142550, $261.98, $266.085, $260.1
09/29/2020, $261.79, 20215500, $257.81, $263.33, $256.9
09/28/2020, $256.82, 18826250, $259.4, $259.6, $254.8208
09/25/2020, $254.82, 18351310, $249.4, $255.75, $246.61
09/24/2020, $249.53, 20006750, $246.5, $252.24, $245.62
09/23/2020, $249.02, 19641270, $255.26, $257.9921, $248.15
09/22/2020, $254.75, 30293100, $253.31, $255.32, $248.22
09/21/2020, $248.15, 24709380, $247.54, $249.95, $244.13
09/18/2020, $252.53, 28130770, $258.405, $259.2, $250.05
09/17/2020, $254.82, 31281440, $258.28, $261.5, $250.19
09/16/2020, $263.52, 29207590, $267.29, $272.44, $261.79
09/15/2020, $272.42, 18478530, $270.67, $274.52, $269.3
09/14/2020, $266.15, 24093830, $270.95, $276.64, $265.7
09/11/2020, $266.61, 18913880, $270.06, $271.39, $262.64
09/10/2020, $268.09, 24814670, $275.51, $279.16, $267.0319
09/09/2020, $273.72, 22918770, $275.77, $278.48, $271.35
09/08/2020, $271.16, 24864000, $271.28, $279.3, $269.42
09/04/2020, $282.73, 30333670, $287.25, $289, $271.14
09/03/2020, $291.12, 32294090, $295.99, $297.6, $283.63
09/02/2020, $302.5, 24341370, $298.88, $303.6, $293.05
09/01/2020, $295.44, 17320870, $294.71, $301.49, $292.71
08/31/2020, $293.2, 17345130, $293.95, $296.88, $291.55
08/28/2020, $293.66, 17172420, $295, $297.23, $290.98
08/27/2020, $293.22, 30301310, $300.16, $301.23, $292.02
08/26/2020, $303.91, 69015150, $284, $304.67, $284
08/25/2020, $280.82, 42127240, $272.41, $283.09, $270.2601
08/24/2020, $271.39, 23685600, $271.07, $277.2478, $268.7701
08/21/2020, $267.01, 15538620, $268.69, $270.49, $266.42
08/20/2020, $269.01, 20299690, $261.5, $269.63, $261.46
08/19/2020, $262.59, 23291460, $261.388, $267.908, $261.35
08/18/2020, $262.34, 18690380, $260.95, $265.15, $259.26
08/17/2020, $261.16, 13351060, $262.5, $264.0973, $259.4
08/14/2020, $261.24, 14792710, $262.305, $262.65, $258.6801
08/13/2020, $261.3, 17373970, $261.55, $265.16, $259.57
08/12/2020, $259.89, 21428330, $258.97, $263.8973, $258.1125
08/11/2020, $256.13, 28238280, $260.185, $265.915, $255.13
08/10/2020, $263, 30248830, $268.04, $273.86, $259.69
08/07/2020, $268.44, 72766360, $264.08, $278.89, $263.43
08/06/2020, $265.28, 45241610, $249.04, $266.6, $248.665
08/05/2020, $249.12, 13088360, $250.19, $252.2698, $247.77
08/04/2020, $249.83, 17183530, $251.56, $252.8, $247.43
08/03/2020, $251.96, 23134100, $252.65, $255.4, $250.33
07/31/2020, $253.67, 53030040, $255.82, $255.85, $249
07/30/2020, $234.5, 20615310, $230.22, $234.893, $229
07/29/2020, $233.29, 13588320, $231.14, $233.7, $230.31
07/28/2020, $230.12, 14170110, $234.63, $234.96, $229.83
07/27/2020, $233.5, 13163080, $231.46, $234.95, $230.83
07/24/2020, $230.71, 18325810, $230.19, $233.49, $226.9
07/23/2020, $232.6, 21771800, $239.63, $242.42, $231.75
07/22/2020, $239.87, 15427890, $240.26, $241.9, $238.12
07/21/2020, $241.75, 19409690, $246.22, $246.91, $240.08
07/20/2020, $245.42, 20872220, $240.06, $246.05, $235.635
07/17/2020, $242.03, 18152410, $241, $244.16, $237.86
07/16/2020, $240.93, 18880710, $238, $241.76, $236.3306
07/15/2020, $240.28, 19133560, $241.55, $244.82, $238.05
07/14/2020, $239.73, 23378060, $236.76, $240.33, $232.03
07/13/2020, $239, 24674870, $247.005, $250.15, $238.42
07/10/2020, $245.07, 22982720, $243.685, $245.49, $239.32
07/09/2020, $244.5, 22174900, $245, $246.525, $239.24
07/08/2020, $243.58, 29791340, $238.11, $246.99, $236.59
07/07/2020, $240.86, 27887790, $239.41, $247.65, $238.82
07/06/2020, $240.28, 26206160, $233.76, $240.4, $232.27
07/02/2020, $233.42, 30633620, $239, $240, $232.61
07/01/2020, $237.55, 43399740, $228.5, $239, $227.56
06/30/2020, $227.07, 33927070, $220.59, $227.5, $218.47
06/29/2020, $220.64, 58514280, $209.75, $220.75, $207.11
06/26/2020, $216.08, 76343940, $232.64, $233.09, $215.4
06/25/2020, $235.68, 18704340, $234.62, $237.3, $232.74
06/24/2020, $234.02, 20834900, $241.2, $243.22, $232.68
06/23/2020, $242.24, 24017920, $241.28, $245.1853, $239.86
06/22/2020, $239.22, 18917780, $238.56, $240.7, $236.91
06/19/2020, $238.79, 30081290, $237.79, $240.83, $235.55
